Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.137,192.168.137.139,2,1066,53230,80,1717489764.821651,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,53230,80,1717489764.822612,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,54143,80,1717489764.8226123,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,54143,80,1717489764.8226125,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,54143,80,1717489764.8226125,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,54143,80,1717489764.8229268,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52799,80,1717489764.822927,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52799,80,1717489764.8232188,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52799,80,1717489764.8232193,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,52799,80,1717489764.8239992,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,36029,80,1717489764.8239996,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,36029,80,1717489764.8239996,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,36029,80,1717489764.824,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,36029,80,1717489764.8247094,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,48896,80,1717489764.82471,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,48896,80,1717489764.82471,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,48896,80,1717489764.8247101,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,48896,80,1717489764.8256207,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,40916,80,1717489764.8256211,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,40916,80,1717489764.8256211,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,40916,80,1717489764.8256211,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,40916,80,1717489764.8265588,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,57431,80,1717489764.826559,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,57431,80,1717489764.8265593,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,57431,80,1717489764.8265593,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,57431,80,1717489764.827108,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41220,80,1717489764.8271081,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41220,80,1717489764.8271081,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41220,80,1717489764.8271084,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,41220,80,1717489764.8281164,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,58281,80,1717489764.8281171,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,58281,80,1717489764.8281171,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,58281,80,1717489764.8281171,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,58281,80,1717489764.8289022,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56967,80,1717489764.8289025,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56967,80,1717489764.8289025,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56967,80,1717489764.8289027,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,56967,80,1717489764.8299181,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,60222,80,1717489764.8299184,,UDP Flood,3232270729,3232270731
