Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.137,91.189.91.48,1,60,41630,80,1717495257.4050689,17.0,Other,3232270729,1539136304
91.189.91.48,192.168.137.137,1,60,80,41630,1717495257.405069,16.0,Other,1539136304,3232270729
192.168.137.139,34.107.243.93,1,93,51452,443,1717495258.284448,24.0,Other,3232270731,577499997
34.107.243.93,192.168.137.139,1,60,443,51452,1717495258.285182,16.0,Other,577499997,3232270731
192.168.137.139,34.107.243.93,1,78,51452,443,1717495258.285994,24.0,Other,3232270731,577499997
192.168.137.139,34.107.243.93,1,54,51452,443,1717495258.2864008,17.0,Other,3232270731,577499997
34.107.243.93,192.168.137.139,1,60,443,51452,1717495258.2865832,16.0,Other,577499997,3232270731
34.107.243.93,192.168.137.139,1,60,443,51452,1717495258.2869308,16.0,Other,577499997,3232270731
34.107.243.93,192.168.137.139,1,60,443,51452,1717495258.301864,25.0,Other,577499997,3232270731
192.168.137.139,34.107.243.93,1,54,51452,443,1717495258.301914,16.0,Other,3232270731,577499997
192.168.137.139,34.107.221.82,1,54,48758,80,1717495259.2861285,17.0,Other,3232270731,577494354
192.168.137.139,34.107.221.82,1,54,48746,80,1717495259.2865403,17.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48758,1717495259.286754,16.0,Other,577494354,3232270731
34.107.221.82,192.168.137.139,1,60,80,48746,1717495259.287033,16.0,Other,577494354,3232270731
34.107.221.82,192.168.137.139,1,60,80,48746,1717495259.3198314,25.0,Other,577494354,3232270731
34.107.221.82,192.168.137.139,1,60,80,48758,1717495259.3198323,25.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48746,80,1717495259.319906,16.0,Other,3232270731,577494354
192.168.137.139,34.107.221.82,1,54,48758,80,1717495259.320055,16.0,Other,3232270731,577494354
192.168.137.139,34.149.100.209,1,93,36168,443,1717495260.2869549,24.0,Other,3232270731,580216017
34.149.100.209,192.168.137.139,1,60,443,36168,1717495260.287884,16.0,Other,580216017,3232270731
192.168.137.139,34.149.100.209,1,78,36168,443,1717495260.2883441,24.0,Other,3232270731,580216017
192.168.137.139,34.149.100.209,1,54,36168,443,1717495260.288655,17.0,Other,3232270731,580216017
34.149.100.209,192.168.137.139,1,60,443,36168,1717495260.2892034,16.0,Other,580216017,3232270731
34.149.100.209,192.168.137.139,1,60,443,36168,1717495260.2892036,16.0,Other,580216017,3232270731
34.149.100.209,192.168.137.139,1,60,443,36168,1717495260.3039265,25.0,Other,580216017,3232270731
192.168.137.139,34.149.100.209,1,54,36168,443,1717495260.3039658,16.0,Other,3232270731,580216017
192.168.137.137,192.168.137.139,1,74,37202,80,1717495265.7464466,2.0,Other,3232270729,3232270731
192.168.137.139,192.168.137.137,1,54,80,37202,1717495265.746498,20.0,Other,3232270731,3232270729
192.168.137.139,34.120.208.123,1,93,59244,443,1717495266.2876322,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,59244,1717495266.2881293,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,93,443,59244,1717495266.2969222,24.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,59244,443,1717495266.2969887,16.0,Other,3232270731,578343035
192.168.137.139,34.98.75.36,1,93,48290,443,1717495276.2891023,24.0,Other,3232270731,576867108
34.98.75.36,192.168.137.139,1,60,443,48290,1717495276.2899213,16.0,Other,576867108,3232270731
192.168.137.139,34.98.75.36,1,78,48290,443,1717495276.2899394,24.0,Other,3232270731,576867108
34.98.75.36,192.168.137.139,1,60,443,48290,1717495276.2903504,16.0,Other,576867108,3232270731
192.168.137.139,34.98.75.36,1,54,48290,443,1717495276.2906191,17.0,Other,3232270731,576867108
34.98.75.36,192.168.137.139,1,60,443,48290,1717495276.2912073,16.0,Other,576867108,3232270731
34.98.75.36,192.168.137.139,1,60,443,48290,1717495276.2960007,25.0,Other,576867108,3232270731
